,SSR2,SSR3,cost2,cost3,SCR2,SCR3
0,43.82767397601471,44.351775241308964,7445.245462483706,7420.554928523457,60.73809594358601,61.46441586996445
1,43.45385312559721,44.508021279139705,7555.712629640055,7506.644121114805,61.05160892134286,62.53192910627913
2,43.079296252278745,44.66303976041748,7667.054303664906,7592.496396936477,61.34829409287029,63.602905837768056
3,42.775697897397045,44.78349173266628,7774.330706928724,7679.2252830051275,61.73307519751564,64.62991995613655
4,42.467893533109994,44.96573203957539,7888.281574647383,7763.5743735156475,62.101558110946755,65.75342360240539
5,42.18265021362219,45.0789961630631,7993.809313903334,7850.6242098192515,62.49312490024985,66.78402905767265
6,41.81701869714829,45.09169738426982,8108.346212673575,7941.720433337811,62.74883253387723,67.66036416199766
7,41.492146855207416,45.17995319450082,8219.148907826882,8030.711686354446,63.0582071767805,68.66202484636587
8,41.166346914411896,45.24180996850416,8328.736226184768,8117.573758295676,63.34804798012603,69.6187235674121
9,40.76042429026454,45.20894646176053,8444.36329073062,8211.22297498786,63.49924778750897,70.42867334602538
10,40.48324663215416,45.23256411310361,8559.235381663104,8306.008795903297,63.84908000194252,71.33957488618717
11,40.26729822220262,45.3444813189382,8666.817788275275,8388.969101829816,64.27357575773746,72.37763852855448
12,39.86619020286285,45.33869969119423,8779.643590942629,8477.090984189086,64.39761230166242,73.23759782707701
13,39.639089909121324,45.35853374036337,8884.908487168865,8565.416482197772,64.7893332283853,74.13765462307263
14,39.202963154650774,45.218512206026205,9009.510531706757,8664.289179032126,64.8287218713727,74.77644839441112
15,39.0034965846825,45.263071469385544,9125.61826332302,8758.908335486882,65.24660586223756,75.71632580251551
16,38.628747889974704,45.297808292464566,9234.638087793151,8843.48225358148,65.35168228004657,76.63277588764798
17,38.40616309492907,45.22568235731469,9346.82669609016,8938.639544615373,65.71664980347556,77.38318684985214
18,38.14609330378862,45.22854112872524,9457.301441839994,9028.655708320632,65.99903300611669,78.25283588022822
19,37.88244810869695,45.12815643922841,9571.456958694584,9124.799991988588,66.2665382784731,78.94044986608849
